product_id,product_name,category,price,active
1,Up-sized content-based frame,Grocery,50.31,1
2,Organized context-sensitive software,Sports & Outdoors,347.53,1
3,Compatible contextually-based conglomeration,Sports & Outdoors,404.17,0
4,User-centric multimedia capability,Fashion,373.72,0
5,Multi-tiered 6thgeneration interface,Electronics,183.5,0
6,Grass-roots next generation firmware,Beauty,704.8,0
7,De-engineered cohesive paradigm,Sports & Outdoors,247.03,1
8,Function-based 24hour groupware,Books,728.74,1
9,Persistent tertiary collaboration,Electronics,94.61,1
10,Balanced coherent Graphic Interface,Fashion,520.23,1
11,Right-sized actuating time-frame,Electronics,216.7,1
12,Self-enabling reciprocal protocol,Grocery,853.06,1
13,Innovative mobile utilization,Electronics,162.11,0
14,Re-engineered neutral help-desk,Fashion,5.6,1
15,Compatible zero tolerance strategy,Home & Kitchen,58.29,1
16,Intuitive multi-tasking definition,Home & Kitchen,864.69,1
17,Enterprise-wide multi-state architecture,Grocery,275.07,1
18,Profit-focused cohesive instruction set,Beauty,160.9,1
19,Quality-focused national initiative,Sports & Outdoors,600.64,1
21,Extended stable groupware,Home & Kitchen,167.95,0
22,Managed high-level frame,Fashion,130.87,1
23,Extended web-enabled process improvement,Electronics,740.38,1
24,Progressive methodical open architecture,Electronics,192.66,1
25,Versatile solution-oriented access,Grocery,350.4,0
26,Customizable static hardware,Books,319.34,1
27,Organized disintermediate project,Sports & Outdoors,408.89,1
28,Seamless regional encryption,Home & Kitchen,71.4,1
29,Balanced systemic Graphic Interface,Fashion,536.65,0
30,Multi-tiered bifurcated info-mediaries,Sports & Outdoors,145.6,1
31,Function-based needs-based success,Grocery,271.16,1
33,Visionary holistic migration,Grocery,91.79,1
34,Profound local matrix,Home & Kitchen,280.97,0
35,Balanced explicit projection,Sports & Outdoors,170.46,0
36,Ergonomic fresh-thinking migration,Home & Kitchen,421.22,1
37,Configurable bandwidth-monitored concept,Books,602.98,1
38,Visionary national monitoring,Grocery,757.5,1
39,Adaptive responsive architecture,Fashion,431.24,1
40,Expanded static product,Books,854.57,1
41,Vision-oriented didactic software,Fashion,117.93,1
42,Optimized bi-directional database,Toys,291.17,1
43,Public-key tangible support,Uncategorized,771.67,0
44,Vision-oriented intermediate project,Home & Kitchen,105.69,1
45,Compatible value-added software,Beauty,508.59,0
46,Distributed 4thgeneration knowledgebase,Fashion,241.39,1
47,Universal full-range alliance,Toys,365.65,1
48,Cross-group asynchronous application,Beauty,623.0,1
49,Enhanced eco-centric open architecture,Home & Kitchen,307.38,1
50,Compatible object-oriented emulation,Sports & Outdoors,125.27,0
51,Fundamental incremental info-mediaries,Toys,546.45,0
52,Organized responsive initiative,Fashion,684.74,1
53,Optional foreground adapter,Electronics,283.45,1
54,Networked systematic capability,Grocery,177.51,1
55,Public-key 24hour project,Toys,826.63,1
56,Up-sized regional architecture,Grocery,614.64,1
57,Versatile value-added paradigm,Home & Kitchen,313.09,1
58,Balanced tangible archive,Books,29.56,1
59,Multi-channeled motivating benchmark,Electronics,584.4,1
60,Implemented zero tolerance software,Books,429.31,1
61,Innovative real-time array,Sports & Outdoors,549.46,0
62,Horizontal well-modulated intranet,Sports & Outdoors,806.45,0
64,Assimilated methodical complexity,Beauty,272.13,1
65,Public-key directional challenge,Fashion,238.72,1
66,User-friendly hybrid utilization,Beauty,810.21,1
67,Quality-focused explicit productivity,Toys,650.54,0
